ticker,company_name,gics_sector,gics_sub_industry,market_cap_usd
NVDA,Nvidia,Information Technology,Semiconductors,4823327175827.026
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,4672805685334.981
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,4635812354766.846
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",4109006331178.711
MSFT,Microsoft,Information Technology,Systems Software,3078640496861.587
AMZN,Amazon,Consumer Discretionary,Broadline Retail,2884935692621.7305
AVGO,Broadcom,Information Technology,Semiconductors,1994621006775.8958
META,Meta Platforms,Communication Services,Interactive Media & Services,1545265186310.0
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,1467812030771.9631
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,1048982400425.0652
LLY,Lilly (Eli),Health Care,Pharmaceuticals,862005887926.0449
JPM,JPMorgan Chase,Financials,Diversified Banks,837263368270.874
XOM,ExxonMobil,Energy,Integrated Oil & Gas,634914450641.25
V,Visa Inc.,Financials,Transaction & Payment Processing Services,623829016392.5354
MU,Micron Technology,Information Technology,Semiconductors,611468704572.0227
AMD,Advanced Micro Devices,Information Technology,Semiconductors,587828339627.4933
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,546895629518.48456
INTC,Intel,Information Technology,Semiconductors,500690133804.3213
ORCL,Oracle Corporation,Information Technology,Application Software,494190989446.1975
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,448843280133.6804
MA,Mastercard,Financials,Transaction & Payment Processing Services,437637791452.8053
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,413952172708.7522
NFLX,Netflix,Communication Services,Movies & Entertainment,387646102207.41016
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,379715678160.69836
BAC,Bank of America,Financials,Diversified Banks,379596315590.9939
ABBV,AbbVie,Health Care,Biotechnology,365426317883.8688
CSCO,Cisco,Information Technology,Communications Equipment,362797669880.64154
PLTR,Palantir Technologies,Information Technology,Application Software,345358442250.93304
PG,Procter & Gamble,Consumer Staples,Personal Care Products,342909472708.9038
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,338129747879.0283
UNH,UnitedHealth Group,Health Care,Managed Health Care,334930855411.74133
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,322593442736.4563
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,321038373606.53687
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,308777716395.97754
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,301963372467.56116
GE,GE Aerospace,Industrials,Aerospace & Defense,299354139758.9441
GEV,GE Vernova,Industrials,Heavy Electrical Equipment,285635905564.1565
MRK,Merck & Co.,Health Care,Pharmaceuticals,277021660789.9278
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,274113648101.06995
PM,Philip Morris International,Consumer Staples,Tobacco,259313028407.6306
TXN,Texas Instruments,Information Technology,Semiconductors,255754266128.24197
WFC,Wells Fargo,Financials,Diversified Banks,247293905538.97424
LIN,Linde plc,Materials,Industrial Gases,234835451903.47687
RTX,RTX Corporation,Industrials,Aerospace & Defense,234309457035.273
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,226817338679.0083
C,Citigroup,Financials,Diversified Banks,222933218905.19836
IBM,IBM,Information Technology,IT Consulting & Other Services,218241359147.69775
AXP,American Express,Financials,Consumer Finance,218126112300.73187
ANET,Arista Networks,Information Technology,Communications Equipment,217458558099.91983
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,215170182463.94733
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,212177054172.91864
MCD,McDonald's,Consumer Discretionary,Restaurants,203751642562.35413
NEE,NextEra Energy,Utilities,Multi-Utilities,202173847795.24292
VZ,Verizon,Communication Services,Integrated Telecommunication Services,200907362548.82812
ADI,Analog Devices,Information Technology,Semiconductors,194153912389.23468
QCOM,Qualcomm,Information Technology,Semiconductors,186568534210.20508
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,182608269484.8297
T,AT&T,Communication Services,Integrated Telecommunication Services,181490616201.47803
BA,Boeing,Industrials,Aerospace & Defense,179244187871.91248
AMGN,Amgen,Health Care,Biotechnology,177999076552.23468
SNDK,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals",175676000000.0
APH,Amphenol,Information Technology,Electronic Components,174947993642.62476
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,174368456088.5445
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,174154556542.17596
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,165107156700.85083
BLK,BlackRock,Financials,Asset Management & Custody Banks,164947884385.99792
GILD,Gilead Sciences,Health Care,Biotechnology,163404464268.6936
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",162998779512.2578
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,162128665378.4323
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,160397344000.23657
UNP,Union Pacific Corporation,Industrials,Rail Transportation,158117707234.64545
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,155922132245.08643
ABT,Abbott Laboratories,Health Care,Health Care Equipment,155822603162.1624
APP,AppLovin,Information Technology,Application Software,154680020900.0
UBER,Uber,Industrials,Passenger Ground Transportation,154605678370.86438
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,154432800697.8262
WELL,Welltower,Real Estate,Health Care REITs,153119905934.63593
CRM,Salesforce,Information Technology,Application Software,150374645213.68457
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,150081640834.3506
PFE,Pfizer,Health Care,Pharmaceuticals,149774416442.58286
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",147536373980.9023
PANW,Palo Alto Networks,Information Technology,Systems Software,146855881484.98535
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",136650162091.8689
GLW,Corning Inc.,Information Technology,Electronic Components,135954211293.16399
HON,Honeywell,Industrials,Industrial Conglomerates,134651287787.5
PLD,Prologis,Real Estate,Industrial REITs,131826743307.0907
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",131442632882.26611
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,130679475849.19579
CB,Chubb Limited,Financials,Property & Casualty Insurance,126527724252.78204
SPGI,S&P Global,Financials,Financial Exchanges & Data,126113759277.34375
VRT,Vertiv,Industrials,Electrical Components & Equipment,126106764443.19434
MO,Altria,Consumer Staples,Tobacco,124640007562.62805
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,123966020999.16092
COF,Capital One,Financials,Consumer Finance,121708538642.95477
SBUX,Starbucks,Consumer Discretionary,Restaurants,120694231739.04419
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,118869840682.45285
LMT,Lockheed Martin,Industrials,Aerospace & Defense,118226105777.35547
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,116476762573.24219
NEM,Newmont,Materials,Gold,115957584157.80124
CRWD,CrowdStrike,Information Technology,Systems Software,115556727682.65015
SYK,Stryker Corporation,Health Care,Health Care Equipment,112876953094.28067
CEG,Constellation Energy,Utilities,Electric Utilities,111517922103.81152
PWR,Quanta Services,Industrials,Construction & Engineering,111373601448.34473
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,111352005914.50342
INTU,Intuit,Information Technology,Application Software,111042490063.91025
ACN,Accenture,Information Technology,IT Consulting & Other Services,110673705769.86543
SO,Southern Company,Utilities,Electric Utilities,109021578865.76227
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,107828182276.67496
TT,Trane Technologies,Industrials,Building Products,107571470448.2797
EQIX,Equinix,Real Estate,Data Center REITs,107010270696.82227
CVS,CVS Health,Health Care,Health Care Services,105206900748.8945
CME,CME Group,Financials,Financial Exchanges & Data,104917528426.71231
MDT,Medtronic,Health Care,Health Care Equipment,102710797120.0
ADBE,Adobe Inc.,Information Technology,Application Software,101336984713.74512
DUK,Duke Energy,Utilities,Electric Utilities,100078668769.05762
MCK,McKesson Corporation,Health Care,Health Care Distributors,99707241325.45312
CMCSA,Comcast,Communication Services,Cable & Satellite,97128896372.60587
HCA,HCA Healthcare,Health Care,Health Care Facilities,96076598169.59839
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,96029152286.70045
KKR,KKR & Co.,Financials,Asset Management & Custody Banks,96020065688.06923
CDNS,Cadence Design Systems,Information Technology,Application Software,94130830337.9729
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",94061567811.81747
NOW,ServiceNow,Information Technology,Systems Software,94014041056.7627
FDX,FedEx,Industrials,Air Freight & Logistics,93932324838.46814
SNPS,Synopsys,Information Technology,Application Software,93677660338.97672
GD,General Dynamics,Industrials,Aerospace & Defense,93525574881.73508
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,92374615273.63898
WM,Waste Management,Industrials,Environmental & Facilities Services,91868486500.75671
BK,BNY Mellon,Financials,Asset Management & Custody Banks,91823781782.13501
UPS,United Parcel Service,Industrials,Air Freight & Logistics,91399313270.99042
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,90895958542.34253
PNC,PNC Financial Services,Financials,Diversified Banks,89027999123.5088
JCI,Johnson Controls,Industrials,Building Products,88798566287.2067
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,87655160264.75
USB,U.S. Bancorp,Financials,Diversified Banks,87546498813.62915
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,85627083230.98288
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,85098679326.58766
AMT,American Tower,Real Estate,Telecom Tower REITs,84610840545.44856
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",84220449375.5365
BSX,Boston Scientific,Health Care,Health Care Equipment,83968896935.5
CSX,CSX Corporation,Industrials,Rail Transportation,83783481300.56949
FCX,Freeport-McMoRan,Materials,Copper,81177614724.09918
ELV,Elevance Health,Health Care,Managed Health Care,80932074187.85522
NOC,Northrop Grumman,Industrials,Aerospace & Defense,80694901135.2085
ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,80457735331.74652
MRSH,Marsh McLennan,Financials,Insurance Brokers,80064606647.41168
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,79612278228.20734
